Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.066755,0.514027,-0.006127,-0.981067,0.000000,-0.193669,550.000000,500.712070
1.000000,0.066841,0.496971,-0.005590,-0.871849,0.000000,0.489775,550.000000,444.970007
1.000000,0.066915,0.523106,-0.006469,-0.776891,0.000000,-0.629636,550.000000,396.505542
1.000000,0.066747,0.419999,-0.006078,-0.991346,0.000000,-0.131278,550.000000,505.957986
1.000000,0.067112,0.317154,-0.005307,-0.526521,0.000000,0.850162,550.000000,268.723364
1.000000,0.066852,0.279832,-0.005570,-0.857037,0.000000,0.515255,550.000000,437.410281
1.000000,0.066776,0.479783,-0.005739,-0.953631,0.000000,0.300980,550.000000,486.709217
1.000000,0.066938,0.350288,-0.006496,-0.748158,0.000000,-0.663521,550.000000,381.841187
1.000000,0.067014,0.331479,-0.006570,-0.651563,0.000000,-0.758595,550.000000,332.541412
1.000000,0.067017,0.405196,-0.006573,-0.647163,0.000000,-0.762352,550.000000,330.295588
1.000000,0.066778,0.563677,-0.005735,-0.952081,0.000000,0.305845,550.000000,485.918566
1.000000,0.066780,0.306575,-0.005727,-0.948820,0.000000,0.315818,550.000000,484.253864
1.000000,0.066760,0.278001,-0.005797,-0.974113,0.000000,0.226062,550.000000,497.162904
1.000000,0.066946,0.280919,-0.005444,-0.737166,0.000000,0.675712,550.000000,376.230983
1.000000,0.067032,0.398372,-0.005364,-0.628500,0.000000,0.777810,550.000000,320.770521
1.000000,0.066757,0.490978,-0.005812,-0.978193,0.000000,0.207697,550.000000,499.245413
1.000000,0.066995,0.411765,-0.005396,-0.675196,0.000000,0.737638,550.000000,344.603321
1.000000,0.067064,0.277769,-0.006610,-0.587122,0.000000,-0.809498,550.000000,299.652432
1.000000,0.066761,0.363667,-0.006153,-0.973766,0.000000,-0.227552,550.000000,496.985731
1.000000,0.067318,0.322198,-0.006732,-0.263852,0.000000,-0.964563,550.000000,134.663248
1.000000,0.066770,0.294592,-0.005761,-0.962070,0.000000,0.272804,550.000000,491.016269
1.000000,0.066751,0.430287,-0.005847,-0.986591,0.000000,0.163211,550.000000,503.531516
1.000000,0.066745,0.476093,-0.005890,-0.994207,0.000000,0.107482,550.000000,507.418388
1.000000,0.067017,0.274314,-0.005376,-0.646834,0.000000,0.762631,550.000000,330.127690
1.000000,0.066740,0.383442,-0.005995,-0.999687,0.000000,-0.025025,550.000000,510.215163
1.000000,0.066774,0.470300,-0.006205,-0.956199,0.000000,-0.292717,550.000000,488.020141
1.000000,0.067170,0.352099,-0.006675,-0.452848,0.000000,-0.891587,550.000000,231.122539
1.000000,0.066945,0.301734,-0.006504,-0.739222,0.000000,-0.673462,550.000000,377.280376
