Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.431203,0.085823,-0.042116,0.162384,-0.000002,0.986728,550.000000,360.054367
1.000000,0.353398,0.098254,-0.028977,0.141774,-0.000005,0.989899,550.000000,379.892042
1.000000,0.362923,0.084658,-0.031519,0.144335,-0.000005,0.989529,550.000000,377.439501
1.000000,0.328016,0.043473,-0.026593,0.135106,-0.000006,0.990831,550.000000,386.262200
1.000000,0.241792,0.046579,-0.015843,0.112314,-0.000008,0.993673,550.000000,407.861036
1.000000,0.160023,0.046644,-0.007500,0.090699,-0.000011,0.995878,550.000000,428.093913
1.000000,0.385014,0.017345,-0.034808,0.150172,-0.000004,0.988660,550.000000,371.835619
1.000000,0.569516,0.089097,-0.067527,0.198946,0.000002,0.980011,550.000000,324.305732
1.000000,0.098670,0.086867,-0.002414,0.074482,-0.000013,0.997222,550.000000,443.115504
1.000000,0.020397,0.032954,0.002616,0.053789,-0.000015,0.998552,550.000000,462.086463
1.000000,0.699859,0.066793,-0.096390,0.233400,0.000006,0.972381,550.000000,289.954047
1.000000,0.327786,0.041586,-0.026562,0.135045,-0.000006,0.990839,550.000000,386.320268
1.000000,-0.000778,0.012971,-0.001348,0.048256,-0.000016,0.998835,550.000000,467.122515
1.000000,0.669460,0.031858,-0.089226,0.225363,0.000005,0.974275,550.000000,298.025329
1.000000,0.764404,0.001619,-0.114236,0.250572,0.000008,0.968098,550.000000,272.588074
1.000000,0.066439,0.099292,-0.001464,0.065985,-0.000014,0.997821,550.000000,450.931927
1.000000,0.665956,0.099170,-0.090189,0.224542,0.000005,0.974464,550.000000,298.848534
1.000000,0.195220,0.062274,-0.010871,0.100003,-0.000010,0.994987,550.000000,419.414010
1.000000,0.740809,0.000690,-0.108317,0.244339,0.000008,0.969690,550.000000,278.910836
1.000000,0.329484,0.091255,-0.026793,0.135496,-0.000006,0.990778,550.000000,385.890766
1.000000,0.220197,0.031705,-0.013465,0.106605,-0.000009,0.994301,550.000000,413.228490
1.000000,0.333154,0.094812,-0.027297,0.136466,-0.000005,0.990645,550.000000,384.965053
