Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,-0.250143,0.455858,0.763094,-0.500286,-0.432930,0.749857,550.000000,102.055509
1.000000,0.453749,0.653451,0.619789,0.907499,-0.210028,0.363778,550.000000,49.510241
1.000000,-0.025058,-0.201954,0.460027,-0.050117,-0.499372,0.864937,550.000000,117.717942
1.000000,0.345608,0.230777,0.550460,0.691217,-0.361324,0.625831,550.000000,85.175633
1.000000,0.281262,0.427133,0.723948,0.562524,-0.413391,0.716013,550.000000,97.449427
1.000000,0.263522,-0.048018,0.462931,0.527044,-0.424919,0.735981,550.000000,100.167028
1.000000,0.311541,0.578736,0.785712,0.623082,-0.391078,0.677368,550.000000,92.189747
1.000000,-0.043274,-0.130399,0.499898,-0.086547,-0.498124,0.862776,550.000000,117.423795
1.000000,-0.153302,0.088854,0.600843,-0.306604,-0.475919,0.824315,550.000000,112.189291
1.000000,0.377629,0.599230,0.724377,0.755258,-0.327714,0.567617,550.000000,77.252640
1.000000,-0.197853,0.075596,0.573871,-0.395705,-0.459189,0.795338,550.000000,108.245539
1.000000,-0.221668,0.231700,0.651283,-0.443335,-0.448178,0.776267,550.000000,105.649921
1.000000,0.436803,0.929519,0.390026,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.434926,0.181378,0.389532,-0.869853,-0.246656,0.427220,550.000000,58.144686
1.000000,-0.078141,0.001995,0.571408,-0.156282,-0.493856,0.855384,550.000000,116.417771
1.000000,-0.038945,0.879386,0.476858,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.026318,0.201912,0.693124,-0.052636,-0.499307,0.864825,550.000000,117.702667
1.000000,-0.068437,0.208085,0.692055,-0.136875,-0.495294,0.857875,550.000000,116.756743
1.000000,-0.114111,0.654021,0.867202,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.309421,0.273244,0.611275,-0.618843,-0.392758,0.680276,550.000000,92.585560
1.000000,-0.188954,-0.052314,0.504332,-0.377907,-0.462922,0.801804,550.000000,109.125528
1.000000,0.386634,0.843770,0.538547,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.069527,0.988056,0.288637,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.128803,1.046823,0.186850,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,0.255735,0.952792,0.349716,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.386852,-0.065158,0.328159,-0.773704,-0.316774,0.548668,550.000000,74.673692
1.000000,-0.427193,0.005455,0.303162,-0.854387,-0.259819,0.450019,550.000000,61.247638
1.000000,-0.312694,-0.090850,0.398062,-0.625388,-0.390157,0.675772,550.000000,91.972523
1.000000,0.445237,0.611865,0.615975,0.890474,-0.227517,0.394072,550.000000,53.633144
1.000000,-0.280825,-0.004307,0.475198,-0.561650,-0.413687,0.716528,550.000000,97.519402
1.000000,-0.242255,0.166283,0.601061,-0.484510,-0.437393,0.757586,550.000000,103.107515
1.000000,-0.349302,0.137998,0.492772,-0.698603,-0.357755,0.619649,550.000000,84.334240
1.000000,-0.306005,-0.096878,0.400664,-0.612010,-0.395425,0.684896,550.000000,93.214329
1.000000,-0.344097,0.555780,0.739762,-0.688195,-0.362763,0.628324,550.000000,85.514884
1.000000,-0.163040,0.148012,0.631248,-0.326080,-0.472671,0.818690,550.000000,111.423738
1.000000,0.486848,0.119592,0.200599,0.973695,-0.113927,0.197328,550.000000,26.856369
1.000000,-0.172743,0.563888,0.867360,-0.345486,-0.469212,0.812699,550.000000,110.608337
1.000000,-0.425689,0.970849,0.318439,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,0.467818,0.086927,0.253973,0.935636,-0.176484,0.305679,550.000000,41.602846
1.000000,0.343729,0.163408,0.513629,0.687457,-0.363112,0.628929,550.000000,85.597232
1.000000,-0.142580,0.410997,0.790668,-0.285160,-0.479240,0.830068,550.000000,112.972264
1.000000,0.458346,0.371140,0.444984,0.916692,-0.199798,0.346059,550.000000,47.098692
