ElemLabel,Area,Energy,Flux
161,12.1409811,12,0.9883879977
162,12.46284921,15,1.203577108
163,12.61938549,12,0.9509179358
164,12.20730862,14,1.146853941
167,29.39848592,18,0.6122764298
168,11.0265246,16,1.451046506
170,12.52833948,19,1.516561715
171,29.01757247,12,0.4135425184
172,11.70703197,4,0.3416749874
174,10.52404262,14,1.330287278
176,11.57593851,12,1.036633012
177,9.96181359,5,0.5019166394
178,10.44158045,9,0.861938482
179,9.390435107,8,0.8519307049
180,10.51641544,10,0.9508943475
181,9.97482514,6,0.6015143038
182,11.2465937,9,0.8002422989
183,11.36925082,9,0.791608888
186,8.666562579,3,0.3461580036
187,11.17139177,13,1.163686698
188,11.75758534,9,0.7654632939
189,11.6474955,13,1.11611977
190,10.74929723,11,1.023322712
191,10.67990453,7,0.6554365705
192,12.30275692,20,1.625651887
193,10.15020408,7,0.6896413062
194,11.40426681,8,0.7014918305
195,10.9789369,10,0.9108350009
196,12.30457812,9,0.7314350737
199,10.18485772,14,1.374589649
200,9.770244001,5,0.5117579458
201,11.37107343,4,0.3517697802
203,9.44722484,4,0.4234047636
204,10.41468372,11,1.056201061
205,10.79448384,13,1.204318817
206,11.68059934,12,1.027344544
212,10.71180774,11,1.026904166
213,10.77787824,13,1.206174324
216,10.78788016,5,0.4634830869
217,11.89347805,11,0.9248766389
218,8.528431592,10,1.172548539
220,13.36752552,11,0.8228897698
221,10.18094076,7,0.687559251
222,9.283597755,9,0.9694517404
223,15.20482083,17,1.118066447
224,10.64511954,15,1.409096436
226,5.682186223,3,0.5279658008
227,15.50312039,7,0.4515220048
228,9.237707383,10,1.082519676
229,11.61008151,10,0.8613203959
230,11.50250904,6,0.5216253237
231,11.72681737,9,0.7674716608
232,11.47798077,11,0.9583567195
233,9.30887176,7,0.7519708274
234,9.946847834,8,0.8042748953
235,10.96972425,9,0.8204399487
236,9.34177212,8,0.8563685666
237,10.66496147,6,0.5625899369
238,10.10419913,10,0.9896875422
239,11.31046138,15,1.326205846
240,11.06632844,8,0.7229136607
243,14.33486112,11,0.7673600677
244,10.18698579,8,0.7853157123
245,12.14494932,11,0.9057262989
247,11.08256852,9,0.8120861135
248,9.040478562,11,1.216749747
249,9.610598498,5,0.5202589621
250,8.852097056,4,0.451870328
251,10.586443,7,0.6612230377
252,7.329479809,4,0.5457413219
253,12.3073903,13,1.056275919
256,11.44820644,12,1.048199128
257,6.428627502,8,1.24443359
258,11.08957197,16,1.442796895
259,7.818285466,3,0.3837158432
261,14.40751113,12,0.8328988882
263,4.877326219,4,0.8201214806
264,9.57170796,6,0.626847374
265,13.73423089,8,0.5824862028
266,12.79729103,12,0.9376984526
268,10.78808334,12,1.112338459
269,8.235469403,8,0.9714078953
270,9.192098152,5,0.5439454537
271,9.783674809,12,1.226532998
273,8.837214432,11,1.24473612
274,10.39339346,12,1.154579594
276,10.53637942,9,0.8541833624
277,10.88958494,8,0.7346469169
278,11.09559387,8,0.7210069232
280,10.62647191,7,0.6587322732
281,10.5610239,14,1.325629043
282,8.731214027,3,0.3435948301
283,11.74776643,9,0.7661030761
285,5.71145619,1,0.1750866971
286,9.838759731,6,0.6098329631
288,7.799081525,2,0.2564404531
289,11.07350888,14,1.264278573
290,13.37831154,15,1.121217723
291,8.563452435,6,0.7006519912
292,14.32096172,10,0.6982771265
293,11.42215103,9,0.7879426543
294,10.63719762,7,0.6580680599
295,10.95555737,8,0.7302230025
296,12.20746836,14,1.146838934
298,10.03466774,11,1.096199723
299,9.943941358,8,0.8045099737
300,9.294624494,9,0.9683016248
301,8.925912016,8,0.8962669568
302,10.66520083,6,0.5625773105
303,10.8877448,9,0.8266174647
304,9.187750561,2,0.2176811383
306,6.435509062,10,1.553878629
307,11.22300591,10,0.8910268851
308,10.0613955,7,0.6957285397
310,10.09806691,4,0.3961154186
311,5.849992317,3,0.5128211863
312,10.58030539,10,0.9451523025
313,11.10285648,11,0.9907360347
314,13.6090157,12,0.8817684003
315,10.82058107,6,0.5544988723
316,6.501824457,8,1.230423868
317,10.77851954,7,0.6494398397
319,8.748693252,11,1.25733063
320,9.0669129,9,0.9926201012
321,9.354641012,2,0.2137976217
324,10.38722483,15,1.444081576
325,10.36076072,8,0.7721440748
327,7.005407507,7,0.9992280953
328,9.590474292,8,0.834161039
329,12.307627,14,1.137506036
333,8.923215629,13,1.456873905
334,10.00835461,13,1.298914808
335,9.917229398,7,0.7058422992
337,9.908958471,9,0.90826902
338,6.557866983,7,1.067420248
341,11.10052509,1,0.0900858285
343,11.51894202,2,0.1736270567
344,5.538524996,7,1.263874408
345,13.47346281,2,0.1484399391
346,10.72488195,7,0.6526878369
347,17.72522756,17,0.9590850069
348,10.28545293,14,1.361145697
349,11.78928768,15,1.272341503
350,12.00846403,8,0.666196774
351,14.87602199,15,1.008334083
352,5.711764717,6,1.050463438
353,8.602574209,6,0.6974656485
354,11.14454437,9,0.8075700273
355,10.50515723,13,1.237487428
